"Google Consumer Secret","Google Consumer Secret"
"Window Live Client ID","Window Live Client ID"
"Window Live Client Secret","Window Live Client Secret"
"Default Shared Message","Default Shared Message"
"Facebook Application ID","Facebook Application ID"
"Facebook Application Secret","Facebook Application Secret"
"Payment Configuration","Payment Configuration"
"Add commission to account balance when order state is","Add commissions to an account balance when order state is"
"Add commission to affiliate account balance when order status is","Add commission to affiliate account balance when order status is"
"Subtract commission from account balance when order state is","Subtract commissions from an account balance when order state is"
"Payment release","Payment release"
"Paypal payment method","Paypal payment method"
"Who pay fees","Who pay fees"
"Scope Configuration","Scope Configuration"
"Transaction History","Transaction History"
"Account Balance Scope","Account Balance Scope"
"Material Configuration","Promotional Material Configuration"
"Show Material Page","Show Promotional Material Page"
"Material CMS page","Promotional Material CMS page" 
"Email Configuration","Email Configuration"
"Send email to new affiliate account","Send a welcome email to new affiliate accounts" 
"Send email to affiliate account when transaction is created","Email affiliates when transactions are created"
"Send email to sales when transaction is created","Email Sales when transactions are created"
"Send email to affiliate account when transaction is updated (cancel or completed)","Email affiliates when transactions are updated (canceled or completed)"
"Send email to sales when affiliate account requests payment","Email Sales when an affiliate requests payment"
"Email template sent to new affiliate account","Email template sent to new affiliates"
"Email template sent to affiliate account approved","Email template sent to affiliates when they are approved"
